10	179.7	159.4	1914.7	0
20	601.6	565.9	3008.6	1562.8
30	834.5	952.3	3457.8	1941.4
40	1042.8	1156.7	2449.9	2544.45
50	1467.8	1459.9	2721.9	1946.79
60	1269 	1168.13	2114.32	2319 
70	1424.4	1538.16	2437.21	2121.6
80	1525.3	1354.8	2573.6	2305.1
90	1784.72	1669.4	2896.1	2525.1
100	1610.46	1489.9	2510.9	2908.7
110	1930.6	1231.9	3154.6	2617.8
120	2040.5	1243.13	3178.8	3006.3
130	1176.7	377.41	991.2	3406.5
140	1367.6	350.9	985.6	1804.8
150	704.3	391.1	488.3	1659.8
160	715.2	458.13	567.7	1630.2
170	518.1	308.49	412.4	1743.8
180	235.5	248.1	177.2	1467.2
190	442.8	374.2	303.9	1142.7
200	113.5	89.4	51.9	1176.2
210	651.9	619.4	394.1	220.7
220	252.5	200.1	99.9	1205.4
230	635.5	614.2	369 	130.8
240	326.1	292.1	159.2	970.8
250	775.7	638.9	347.4	340.2
260	724.7	631 	310.7	952.2
270	122.59	116.1	82.9	706.4
280	417.54	343.6	243.4	461.8
290	35.9	40.5	7.6	759.8
300	212 	151.6	149.5	4 
310	9.05	8.26	232.56	715.2
