10	162.68	164.3	0	1667.7
20	511.9	549.1	1681.23	2121.5
30	769.9	702.4	2548.5	2168.6
40	1023.7	1100.8	2435.7	2246.7
50	1489.61	1329.7	2622.2	2549.6
60	1355.28	1239.8	2685.11	2158.8
70	1870.7	1613.5	2282.6	2718.1
80	1529.55	1436.28	2746.3	2405.4
90	1756.6	1633.82	2475.3	2722.7
100	1616.9	1525.14	2768.4	2610.26
110	1831.6	1772.05	2606.8	3160.56
120	404.24	485.4	3305.8	746.3
130	3.1	1.4	758.3	74.5
140	146.11	167.38	2.1	286.7
150	379.65	415.51	100.1	449.7
160	430.67	475.28	261.44	333.7
170	247.98	304.7	252.35	222.5
180	465.68	565.45	160.59	367.4
190	151.95	136.27	322.02	149.5
200	548.59	479.81	94.3	321.3
210	283.4	275.01	266.65	191.1
220	642.1	673.63	139.9	348.6
230	74.73	61.8	285.66	32.7
240	544.24	359.9	31.7	296.5
250	160.08	85.5	211.8	62.6
260	246.9	164.45	44.2	187.9
270	168.88	93.32	124.4	89.4
280	95.75	79.29	62.3	87.4
290	143.19	149.49	50.5	105 
300	192.9	156.35	72.2	93.8
310	13.51	4.43	62.2	142.86
