10	188.3	197.08	2022.1	1733.8
20	590.1	526.5	2381.4	2592 
30	764.6	864.4	2275.2	1974.8
40	839.5	935 	1992.6	2107.2
50	1241.2	1193.4	2691.8	2392.46
60	1129.1	1089.1	1758.3	1857.29
70	1546.8	1528.2	2569.3	2542.2
80	1483.1	1375 	2471 	2504 
90	1718.2	1654.1	2870.3	2807.9
100	774.3	1411.9	2262.8	2332.4
110	1716.5	1255.6	1731.9	2453.8
120	1244 	591.1	617.3	1485.85
130	567 	258.5	318.8	398.84
140	793.02	358.9	429.6	862.4
150	600.06	202.3	527.3	529.5
160	755.1	241.5	629.5	955.1
170	592.2	301.8	541.7	1079.21
180	660.4	402.4	557.4	758.5
190	94.9	128.7	236 	538.3
200	555 	556.3	693.6	1117.8
210	665.2	391.3	526.5	621.94
220	299.5	290.6	236.1	616.06
230	730.7	592.4	513.3	646.54
240	9.3	14.4	84.2	364.74
250	237.6	261.1	161.3	576.64
260	77.6	51.4	38 	340.83
270	153.08	147.2	102.3	892 
280	38.9	27.7	15.8	200.6
290	30.4	24.6	30.3	212.8
300	86.69	48.7	50.4	286.1
310	92.59	45.45	102.56	371.43
