/usr/lib/jvm/java-7-openjdk-amd64/bin/java -cp /home/vm1/clients/ycsb_redis/redis-binding/conf:/home/vm1/clients/ycsb_redis/conf:/home/vm1/clients/ycsb_redis/lib/commons-pool-1.5.5.jar:/home/vm1/clients/ycsb_redis/lib/jackson-mapper-asl-1.9.4.jar:/home/vm1/clients/ycsb_redis/lib/redis-binding-0.13.0-SNAPSHOT.jar:/home/vm1/clients/ycsb_redis/lib/jackson-core-asl-1.9.4.jar:/home/vm1/clients/ycsb_redis/lib/htrace-core4-4.1.0-incubating.jar:/home/vm1/clients/ycsb_redis/lib/jedis-2.0.0.jar:/home/vm1/clients/ycsb_redis/lib/HdrHistogram-2.1.4.jar:/home/vm1/clients/ycsb_redis/lib/core-0.13.0-SNAPSHOT.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.db.RedisClient -s -P /home/vm1/clients/ycsb_redis/workloads/workload1 -p redis.host=10.0.3.168 -p redis.port=6379 -p operationcount=100000000 -p maxexecutiontime=600 -t
Command line: -db com.yahoo.ycsb.db.RedisClient -s -P /home/vm1/clients/ycsb_redis/workloads/workload1 -p redis.host=10.0.3.168 -p redis.port=6379 -p operationcount=100000000 -p maxexecutiontime=600 -tYCSB Client 0.13.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 600 secs
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2017-05-19 19:23:36:766 0 sec: 0 operations; est completion in 0 seconds 
2017-05-19 19:27:16:733 220 sec: 3535 operations; 7.7 current ops/sec; est completion in 72 days [READ: Count=77, Max=1012735, Min=95, Avg=125812.13, 90=579583, 99=950271, 99.9=1012735, 99.99=1012735] 
2017-05-19 19:27:26:733 230 sec: 3682 operations; 14.7 current ops/sec; est completion in 72 days 7 hours [READ: Count=147, Max=1015807, Min=95, Avg=70267.7, 90=295679, 99=843263, 99.9=1015807, 99.99=1015807] 
2017-05-19 19:27:36:733 240 sec: 3812 operations; 13 current ops/sec; est completion in 72 days 20 hours [READ: Count=130, Max=1047039, Min=97, Avg=76928.67, 90=329471, 99=873471, 99.9=1047039, 99.99=1047039] 
2017-05-19 19:27:46:733 250 sec: 3941 operations; 12.9 current ops/sec; est completion in 73 days 10 hours [READ: Count=129, Max=809983, Min=95, Avg=76188.74, 90=397823, 99=807423, 99.9=809983, 99.99=809983] 
2017-05-19 19:27:56:733 260 sec: 4034 operations; 9.3 current ops/sec; est completion in 74 days 14 hours [READ: Count=93, Max=935935, Min=94, Avg=108800.7, 90=560127, 99=881663, 99.9=935935, 99.99=935935] 
2017-05-19 19:28:06:733 270 sec: 4173 operations; 13.9 current ops/sec; est completion in 74 days 21 hours [READ: Count=139, Max=935935, Min=96, Avg=71260.63, 90=295423, 99=909823, 99.9=935935, 99.99=935935] 
2017-05-19 19:28:16:733 280 sec: 4264 operations; 9.1 current ops/sec; est completion in 75 days 23 hours [READ: Count=91, Max=1025023, Min=95, Avg=106817.71, 90=561663, 99=978943, 99.9=1025023, 99.99=1025023] 
2017-05-19 19:28:26:733 290 sec: 4413 operations; 14.9 current ops/sec; est completion in 76 days 1 hours [READ: Count=149, Max=1181695, Min=100, Avg=68602.47, 90=347647, 99=909823, 99.9=1181695, 99.99=1181695] 
2017-05-19 19:28:36:733 300 sec: 4541 operations; 12.8 current ops/sec; est completion in 76 days 11 hours [READ: Count=128, Max=948735, Min=96, Avg=79501.42, 90=380671, 99=756735, 99.9=948735, 99.99=948735] 
2017-05-19 19:28:46:733 310 sec: 4618 operations; 7.7 current ops/sec; est completion in 77 days 16 hours [READ: Count=77, Max=1157119, Min=97, Avg=126868.96, 90=572927, 99=776703, 99.9=1157119, 99.99=1157119] 
2017-05-19 19:28:56:733 320 sec: 4701 operations; 8.3 current ops/sec; est completion in 78 days 18 hours [READ: Count=83, Max=1086463, Min=96, Avg=116283.23, 90=489983, 99=1058815, 99.9=1086463, 99.99=1086463] 
2017-05-19 19:29:06:733 330 sec: 4806 operations; 10.5 current ops/sec; est completion in 79 days 11 hours [READ: Count=105, Max=969215, Min=94, Avg=97842.51, 90=525311, 99=922111, 99.9=969215, 99.99=969215] 
2017-05-19 19:29:16:733 340 sec: 4900 operations; 9.4 current ops/sec; est completion in 80 days 7 hours [READ: Count=94, Max=963071, Min=95, Avg=107353.56, 90=573951, 99=779263, 99.9=963071, 99.99=963071] 
2017-05-19 19:29:26:735 350 sec: 5000 operations; 10 current ops/sec; est completion in 81 days [READ: Count=100, Max=1404927, Min=97, Avg=98852.97, 90=444159, 99=854015, 99.9=1404927, 99.99=1404927] 
2017-05-19 19:29:36:733 360 sec: 5060 operations; 6 current ops/sec; est completion in 82 days 8 hours [READ: Count=60, Max=1118207, Min=89, Avg=162960.15, 90=625151, 99=1052671, 99.9=1118207, 99.99=1118207] 
2017-05-19 19:29:46:733 370 sec: 5123 operations; 6.3 current ops/sec; est completion in 83 days 14 hours [READ: Count=63, Max=1103871, Min=95, Avg=162186.29, 90=567295, 99=905215, 99.9=1103871, 99.99=1103871] 
2017-05-19 19:29:56:733 380 sec: 5239 operations; 11.6 current ops/sec; est completion in 83 days 22 hours [READ: Count=116, Max=997375, Min=90, Avg=89150.75, 90=467455, 99=919039, 99.9=997375, 99.99=997375] 
2017-05-19 19:30:06:733 390 sec: 5324 operations; 8.5 current ops/sec; est completion in 84 days 18 hours [READ: Count=85, Max=1021951, Min=93, Avg=115596.32, 90=647167, 99=890367, 99.9=1021951, 99.99=1021951] 
2017-05-19 19:30:16:733 400 sec: 5417 operations; 9.3 current ops/sec; est completion in 85 days 11 hours [READ: Count=93, Max=1025023, Min=91, Avg=104395.34, 90=549375, 99=808959, 99.9=1025023, 99.99=1025023] 
2017-05-19 19:30:26:733 410 sec: 5503 operations; 8.6 current ops/sec; est completion in 86 days 5 hours [READ: Count=86, Max=980991, Min=93, Avg=117308.56, 90=483583, 99=835583, 99.9=980991, 99.99=980991] 
2017-05-19 19:30:36:733 420 sec: 5557 operations; 5.4 current ops/sec; est completion in 87 days 11 hours [READ: Count=54, Max=1329151, Min=100, Avg=188216.09, 90=635391, 99=1309695, 99.9=1329151, 99.99=1329151] 
2017-05-19 19:30:46:733 430 sec: 5664 operations; 10.7 current ops/sec; est completion in 87 days 20 hours [READ: Count=107, Max=1461247, Min=90, Avg=94722.61, 90=534527, 99=833023, 99.9=1461247, 99.99=1461247] 
2017-05-19 19:30:56:733 440 sec: 5737 operations; 7.3 current ops/sec; est completion in 88 days 18 hours [READ: Count=73, Max=1138687, Min=93, Avg=134917.36, 90=650751, 99=933375, 99.9=1138687, 99.99=1138687] 
2017-05-19 19:31:06:733 450 sec: 5801 operations; 6.4 current ops/sec; est completion in 89 days 18 hours [READ: Count=64, Max=1377279, Min=96, Avg=154633.45, 90=645119, 99=1286143, 99.9=1377279, 99.99=1377279] 
2017-05-19 19:31:16:733 460 sec: 5857 operations; 5.6 current ops/sec; est completion in 90 days 21 hours [READ: Count=56, Max=974335, Min=93, Avg=176188.55, 90=703487, 99=923647, 99.9=974335, 99.99=974335] 
2017-05-19 19:31:26:733 470 sec: 5906 operations; 4.9 current ops/sec; est completion in 92 days 2 hours [READ: Count=49, Max=1168383, Min=92, Avg=207374.18, 90=834559, 99=1168383, 99.9=1168383, 99.99=1168383] 
2017-05-19 19:31:36:733 480 sec: 5994 operations; 8.8 current ops/sec; est completion in 92 days 16 hours [READ: Count=88, Max=1193983, Min=89, Avg=112753.28, 90=545791, 99=845311, 99.9=1193983, 99.99=1193983] 
2017-05-19 19:31:46:733 490 sec: 6027 operations; 3.3 current ops/sec; est completion in 94 days 2 hours [READ: Count=33, Max=1392639, Min=91, Avg=292432.06, 90=951295, 99=1392639, 99.9=1392639, 99.99=1392639] 
2017-05-19 19:31:56:733 500 sec: 6093 operations; 6.6 current ops/sec; est completion in 94 days 23 hours [READ: Count=66, Max=1067007, Min=93, Avg=161879.82, 90=645119, 99=1012735, 99.9=1067007, 99.99=1067007] 
2017-05-19 19:32:06:733 510 sec: 6149 operations; 5.6 current ops/sec; est completion in 95 days 23 hours [READ: Count=56, Max=1679359, Min=92, Avg=164396.59, 90=616447, 99=1370111, 99.9=1679359, 99.99=1679359] 
2017-05-19 19:32:16:733 520 sec: 6223 operations; 7.4 current ops/sec; est completion in 96 days 16 hours [READ: Count=74, Max=1082367, Min=92, Avg=139396.35, 90=708095, 99=1010175, 99.9=1082367, 99.99=1082367] 
2017-05-19 19:32:26:733 530 sec: 6293 operations; 7 current ops/sec; est completion in 97 days 11 hours [READ: Count=70, Max=1551359, Min=91, Avg=148457.17, 90=541695, 99=1047039, 99.9=1551359, 99.99=1551359] 
2017-05-19 19:32:36:733 540 sec: 6325 operations; 3.2 current ops/sec; est completion in 98 days 19 hours [READ: Count=32, Max=1606655, Min=93, Avg=302713.44, 90=929791, 99=1606655, 99.9=1606655, 99.99=1606655] 
